Date,Deal,Gross_Coupon,Accum_Net_Loss_precent,Annualized_Net_Loss_Rate,Delinq_30,Number_of_Assets,Life_CDR,Life_CPR,Gross_Coupon_Accum_Net_Loss_precent,Num_Assets_in_Delinq_30_Days_Number_of_Assets,Open,High,Low,Close,Adj_Close,Volume,series
2021-11-01 00:00:00,LCLC21N1,25.5806,0.0,0.0,0.0,3097.0,0.0,0.0,25.5806,0.0,47.18,49.206001,46.549999,47.610001,47.610001,5230700,1
2022-01-01 00:00:00,LCLC21N1,25.5859,0.06,0.0,0.0,3071.0,0.0,-2.71,25.5259,0.0,24.940001,25.42,24.35,25.01,25.01,2298800,1
2022-02-01 00:00:00,LCLC21N1,25.5928,0.06,0.0,0.81,3050.0,0.0,1.04,25.5328,0.0002655737704918033,19.02,19.969999,18.4,19.43,19.43,3905600,1
2022-03-01 00:00:00,LCLC21N1,29.5933,0.06,0.0,1.62,3009.0,0.0,4.99,29.5333,0.0005383848454636092,18.93,19.1,17.41,17.690001,17.690001,2040900,1
2022-04-01 00:00:00,LCLC21N1,29.59,0.1,0.46,3.14,2936.0,0.09,8.71,29.49,0.0010694822888283378,15.91,16.09,15.53,15.65,15.65,1542800,1
2022-05-01 00:00:00,LCLC21N1,29.5974,0.73,8.5,4.12,2869.0,1.51,11.09,28.8674,0.0014360404322063436,15.15,15.73,14.92,15.7,15.7,1915900,1
2022-06-01 00:00:00,LCLC21N1,29.6216,1.6,12.14,5.44,2785.0,3.0,13.63,28.0216,0.001953321364452424,15.7,16.17,15.11,15.39,15.39,1603400,1
2022-07-01 00:00:00,LCLC21N1,29.5857,2.74,16.57,6.49,2691.0,4.64,16.08,26.8457,0.0024117428465254553,11.6,11.95,11.427,11.83,11.83,1535300,1
2022-08-01 00:00:00,LCLC21N1,29.5936,3.99,19.18,8.06,2613.0,6.18,18.08,25.6036,0.003084577114427861,13.7,14.14,13.62,13.92,13.92,1806100,1
2022-09-01 00:00:00,LCLC21N1,29.5795,5.85,29.98,8.45,2510.0,8.51,20.43,23.7295,0.0033665338645418323,13.02,13.02,12.44,12.92,12.92,1867800,1
